epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,67.3891,0.31195,0.51358,0.96458,0.85546,0.97451,0.92,0.84773,0.48765,0.60451,1.00086,0.000401747,0.000401747,0.000401747
48,69.2456,0.31684,0.53703,0.96942,0.86543,0.99731,0.945,0.87581,0.49605,0.55293,0.99389,0.000374242,0.000374242,0.000374242
49,70.9663,0.29004,0.49051,0.94182,0.86371,1,0.97,0.89029,0.50081,0.54324,1.01144,0.000346736,0.000346736,0.000346736
50,72.41,0.31066,0.51866,0.98307,0.98499,0.9984,0.995,0.9078,0.48519,0.5266,1.00475,0.000319231,0.000319231,0.000319231
51,75.2061,0.24651,1.09432,0.91447,0.98318,1,0.995,0.90363,0.48337,0.54548,0.99724,0.000291725,0.000291725,0.000291725
52,76.8682,0.29131,1.08425,0.95645,0.87544,1,0.995,0.90363,0.47952,0.58762,0.97547,0.00026422,0.00026422,0.00026422
53,78.4104,0.25935,0.94345,0.91922,0.83943,1,0.945,0.8603,0.47745,0.62882,0.96498,0.000236714,0.000236714,0.000236714
54,79.6323,0.21712,0.85276,0.89922,0.8972,0.875,0.97,0.88615,0.46634,0.6711,0.9643,0.000209209,0.000209209,0.000209209
55,81.0679,0.24335,0.86735,0.89429,0.96971,1,0.995,0.89955,0.46423,0.67618,0.95998,0.000181703,0.000181703,0.000181703
56,82.4494,0.21357,0.8531,0.91943,0.96152,1,0.995,0.87677,0.45521,0.65243,0.95164,0.000154198,0.000154198,0.000154198
57,84.2349,0.23528,0.88308,0.93373,0.96392,1,0.995,0.87031,0.45491,0.63701,0.95147,0.000126692,0.000126692,0.000126692
58,86.3809,0.21899,0.80617,0.89707,0.96236,1,0.995,0.87031,0.44614,0.61919,0.94341,9.91865e-05,9.91865e-05,9.91865e-05
59,88.3497,0.202,0.7878,0.86119,0.9616,1,0.995,0.87031,0.43916,0.60745,0.93756,7.1681e-05,7.1681e-05,7.1681e-05
60,90.0738,0.2342,0.81119,0.93952,0.961,1,0.995,0.88904,0.431,0.58623,0.92978,4.41755e-05,4.41755e-05,4.41755e-05
