epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.8727,0.80575,2.86259,1.2657,0.00408,1,0.24729,0.18363,0.41346,2.78091,1.02912,5.001e-05,5.001e-05,5.001e-05
2,3.44865,0.9,2.87155,1.30933,0.00393,1,0.50779,0.33897,0.39694,2.76555,0.9791,0.000114765,0.000114765,0.000114765
3,5.09368,0.53234,2.53165,1.16694,0.00351,1,0.97,0.86704,0.40857,2.67567,0.87291,0.000177319,0.000177319,0.000177319
4,6.35838,0.49535,1.8869,1.11579,0.00341,1,0.8483,0.73513,0.53605,2.55407,1.00294,0.000237673,0.000237673,0.000237673
5,7.68967,0.4851,1.33149,1.11207,0.00336,1,0.845,0.62833,0.78311,2.55588,1.11529,0.000295826,0.000295826,0.000295826
6,8.91441,0.43087,1.07513,1.04232,0.00335,1,0.85958,0.59217,0.74275,2.56849,1.1713,0.000351779,0.000351779,0.000351779
7,10.6045,0.44694,0.96581,1.06116,0.96995,0.72882,0.92208,0.79882,0.44051,2.28535,0.9483,0.000405531,0.000405531,0.000405531
8,12.5552,0.47961,0.95177,1.10437,0.95995,0.93946,0.995,0.9263,0.42582,1.56148,0.98956,0.000457083,0.000457083,0.000457083
9,14.2894,0.41599,0.96457,1.07499,0.68454,0.55315,0.771,0.64031,0.57116,1.87132,1.10189,0.000506435,0.000506435,0.000506435
10,15.5566,0.48258,0.9063,1.05929,0.82204,0.81792,0.87893,0.69671,0.62611,1.28866,1.09199,0.000553586,0.000553586,0.000553586
11,16.7146,0.45893,0.86298,1.08834,0.92519,1,0.995,0.87459,0.51154,1.04225,1.0199,0.000598536,0.000598536,0.000598536
12,18.0294,0.44197,0.83783,1.02748,0.77468,0.94534,0.995,0.85181,0.60492,1.267,1.12477,0.000641287,0.000641287,0.000641287
13,19.2575,0.44987,0.87451,1.01746,0.87776,0.72848,0.88786,0.77283,0.64154,1.50034,1.19273,0.000681836,0.000681836,0.000681836
14,20.49,0.46566,0.82522,1.07425,0.98579,0.875,0.97,0.89257,0.57537,1.36975,1.15326,0.000720186,0.000720186,0.000720186
15,22.1667,0.46858,0.84168,1.05244,0.95701,0.96928,0.995,0.88202,0.51897,1.31218,1.12413,0.000756335,0.000756335,0.000756335
16,23.65,0.47598,0.88304,1.07662,0.92693,0.9747,0.995,0.88692,0.53962,1.07442,1.13787,0.000790283,0.000790283,0.000790283
17,25.5178,0.39462,0.8145,1.01372,0.82039,1,0.995,0.86409,0.59457,1.09314,1.16676,0.000822031,0.000822031,0.000822031
18,27.3829,0.43883,0.81647,1.04408,0.84723,0.9976,0.945,0.74246,0.94587,1.18344,1.43046,0.000851579,0.000851579,0.000851579
19,28.945,0.36562,0.74562,0.99819,0.85771,1,0.995,0.77936,0.93426,1.14455,1.44432,0.000878926,0.000878926,0.000878926
20,30.2336,0.44175,0.77099,1.09435,0.94481,1,0.995,0.74553,0.97263,1.14435,1.55292,0.000904072,0.000904072,0.000904072
21,31.5041,0.43198,0.76355,1.03281,0.8762,0.98092,0.995,0.76383,0.92624,1.05564,1.4579,0.000927019,0.000927019,0.000927019
22,32.6963,0.39426,0.729,1.00388,0.90006,0.91861,0.995,0.77868,0.92639,1.04507,1.44897,0.000947765,0.000947765,0.000947765
23,33.9535,0.43197,0.77986,1.01757,0.90399,0.89559,0.995,0.73879,0.9591,1.29308,1.50356,0.00096631,0.00096631,0.00096631
24,35.1195,0.37822,0.71309,0.98171,0.83683,0.96187,0.995,0.74208,0.83297,1.32987,1.42219,0.000982655,0.000982655,0.000982655
25,36.4464,0.40892,0.74266,1.02088,0.84361,0.99081,0.995,0.75486,0.85727,1.05071,1.43225,0.000996799,0.000996799,0.000996799
26,37.6723,0.39564,0.71631,0.98293,0.91135,0.97889,0.995,0.81143,0.7892,0.9454,1.40322,0.000979362,0.000979362,0.000979362
27,38.9936,0.3776,0.70408,0.97931,0.98385,1,0.995,0.80305,0.58825,0.96451,1.19388,0.000951857,0.000951857,0.000951857
28,40.9318,0.38231,0.72304,1.02035,0.98741,1,0.995,0.77505,0.56178,0.96339,1.15209,0.000924352,0.000924352,0.000924352
29,42.8941,0.37295,0.6843,0.9834,0.97939,1,0.995,0.87145,0.53354,0.92306,1.05547,0.000896846,0.000896846,0.000896846
30,44.1853,0.37039,0.70024,0.98819,0.95345,1,0.995,0.89319,0.52066,0.76386,1.02671,0.00086934,0.00086934,0.00086934
31,45.4281,0.36854,0.6361,0.95921,0.98235,0.988,0.995,0.85583,0.55605,0.69018,1.04609,0.000841835,0.000841835,0.000841835
32,46.6204,0.40767,0.66661,1.01242,0.98623,1,0.995,0.88705,0.5216,0.7141,0.94966,0.000814329,0.000814329,0.000814329
33,47.8884,0.37368,0.66294,1.03541,0.98291,1,0.995,0.88778,0.51122,0.81979,0.91171,0.000786824,0.000786824,0.000786824
34,49.1263,0.36559,0.6174,1.01041,0.96138,1,0.995,0.92345,0.4565,0.9467,0.85737,0.000759318,0.000759318,0.000759318
35,50.3321,0.37535,0.62259,1.00932,0.94586,1,0.995,0.94525,0.42335,0.89868,0.82939,0.000731813,0.000731813,0.000731813
36,51.7611,0.3542,0.61093,0.96791,0.96453,1,0.995,0.90467,0.46792,0.80909,0.88752,0.000704307,0.000704307,0.000704307
37,53.2754,0.37766,0.58293,1.00608,0.9795,1,0.995,0.87036,0.47994,0.70986,0.91578,0.000676802,0.000676802,0.000676802
38,55.0166,0.33933,0.59234,0.97189,0.97087,1,0.995,0.88599,0.49896,0.68776,0.97634,0.000649297,0.000649297,0.000649297
39,56.8781,0.38856,0.58476,0.99414,0.9124,1,0.995,0.88597,0.5248,0.70974,1.04688,0.000621791,0.000621791,0.000621791
40,58.3452,0.37213,0.58322,0.98652,0.87723,1,0.995,0.87036,0.53181,0.72657,1.08719,0.000594286,0.000594286,0.000594286
41,59.5456,0.35369,0.57584,0.95996,0.86294,1,0.995,0.8703,0.55121,0.74018,1.09604,0.00056678,0.00056678,0.00056678
42,60.8519,0.32776,0.57328,0.96253,0.87304,1,0.995,0.86429,0.56859,0.72797,1.09618,0.000539275,0.000539275,0.000539275
43,62.0419,0.36781,0.61123,0.99108,0.94725,1,0.995,0.85803,0.59239,0.726,1.09853,0.000511769,0.000511769,0.000511769
44,63.5482,0.36008,0.54506,0.97336,0.86737,1,0.97,0.85666,0.60979,0.74565,1.10998,0.000484263,0.000484263,0.000484263
45,64.8133,0.30445,0.5095,0.96397,0.86203,0.98522,0.945,0.86467,0.5782,0.69736,1.09011,0.000456758,0.000456758,0.000456758
46,66.1319,0.34304,0.54451,1.00329,0.7783,1,0.89083,0.82127,0.51059,0.63634,1.02503,0.000429253,0.000429253,0.000429253
